domain,file,relPath,extends_AbstractBusinessTool,has_doExecute,factoryId_in_signature,factoryId_ref_count,suspicious_count,risk,reason
workreport,WorkReportHoursTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/workreport/WorkReportHoursTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
workreport,WorkReportProgressTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/workreport/WorkReportProgressTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
system,SendWechatNotificationTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/system/SendWechatNotificationTool.java,true,false,false,0,0,EXEMPT,"已声明 factoryId 隔离豁免（白名单）"
governance,SkillComposeTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/governance/SkillComposeTool.java,true,false,false,0,0,EXEMPT,"已声明 factoryId 隔离豁免（白名单）"
governance,SkillManageTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/governance/SkillManageTool.java,true,false,false,0,0,EXEMPT,"已声明 factoryId 隔离豁免（白名单）"
canvas,SplitOrderTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/canvas/SplitOrderTool.java,true,false,false,0,0,EXEMPT,"已声明 factoryId 隔离豁免（白名单）"
root,CreateIntentTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/CreateIntentTool.java,false,false,false,2,0,NON_BUSINESS_W_FACTORY,"不是 AbstractBusinessTool 子类（可能是工具/查询类）"
dictionary,DictionaryAddTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/dictionary/DictionaryAddTool.java,false,false,false,7,0,NON_BUSINESS_W_FACTORY,"不是 AbstractBusinessTool 子类（可能是工具/查询类）"
dictionary,DictionaryBatchImportTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/dictionary/DictionaryBatchImportTool.java,false,false,false,6,0,NON_BUSINESS_W_FACTORY,"不是 AbstractBusinessTool 子类（可能是工具/查询类）"
dictionary,DictionaryListTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/dictionary/DictionaryListTool.java,false,false,false,5,0,NON_BUSINESS_W_FACTORY,"不是 AbstractBusinessTool 子类（可能是工具/查询类）"
root,TestIntentMatchingTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/TestIntentMatchingTool.java,false,false,false,7,0,NON_BUSINESS_W_FACTORY,"不是 AbstractBusinessTool 子类（可能是工具/查询类）"
root,UpdateIntentTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/UpdateIntentTool.java,false,false,false,2,0,NON_BUSINESS_W_FACTORY,"不是 AbstractBusinessTool 子类（可能是工具/查询类）"
root,QueryDroolsRuleTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/QueryDroolsRuleTool.java,false,false,false,0,0,NON_BUSINESS,"不是 AbstractBusinessTool 子类（可能是工具/查询类）"
root,QueryEntitySchemaTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/QueryEntitySchemaTool.java,false,false,false,0,0,NON_BUSINESS,"不是 AbstractBusinessTool 子类（可能是工具/查询类）"
